,honest_size,sybil_size,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
143,1000,6000,SybilGCN-L2,46,0.40832050000000003,0.17669172932330826,0.8205128205128205,0.05052631578947368,0.09519087754090233,21982,
144,1000,6000,SybilGCN-L4,46,0.03955366666666667,0.14676691729323307,0.5747126436781609,0.017543859649122806,0.03404834865509023,35187,
145,1000,6000,SybilGCN-L8,46,0.03507458333333333,0.14285714285714285,inf,0.0,0.0,65437,
146,1000,6000,SybilRGCN-L2,46,0.7359847500000001,0.1960902255639098,0.9971910112359551,0.062280701754385964,0.11723910171730516,28370,
147,1000,6000,SybilGAT-L2,46,0.6508955833333333,0.4801503759398496,0.9189391109450877,0.43157894736842106,0.5873224304643667,7912,
148,1000,6000,SybilGAT-L4,46,0.6329738333333332,0.4732330827067669,0.9312917157440126,0.416140350877193,0.5752394810234025,113007,
149,1000,6000,SybilGAT-L8,46,0.39934141666666667,0.37593984962406013,0.8331900257953568,0.34,0.48293047595315225,426416,
150,2000,1000,SybilRank,42,0.6142885,0.5740350877192982,0.4090909090909091,0.6252631578947369,0.4945878434637802,162,
151,2000,1000,SybilBelief,42,0.22303325000000002,0.6666666666666666,inf,0.0,0.0,92,
152,2000,1000,SybilSCAR,42,0.6228450000000001,0.6666666666666666,0.5,0.002105263157894737,0.0041928721174004195,64,
153,2000,1000,SybilGCN-L2,42,0.674057,0.6705263157894736,0.6341463414634146,0.02736842105263158,0.05247225025227043,12910,
154,2000,1000,SybilGCN-L4,42,0.46385450000000006,0.46035087719298246,0.2699530516431925,0.3631578947368421,0.3096947935368043,20948,
155,2000,1000,SybilGCN-L8,42,0.21519749999999999,0.6666666666666666,inf,0.0,0.0,38602,
156,2000,1000,SybilRGCN-L2,42,0.7140115,0.663859649122807,0.4,0.016842105263157894,0.03232323232323232,15380,
157,2000,1000,SybilGAT-L2,42,0.720851,0.6666666666666666,inf,0.0,0.0,1547,
158,2000,1000,SybilGAT-L4,42,0.730964,0.671578947368421,0.5421686746987951,0.09473684210526316,0.16129032258064516,1597,
159,2000,1000,SybilGAT-L8,42,0.69547725,0.6066666666666667,0.44557606619987267,0.7368421052631579,0.5553351844506148,1882,
160,2000,1000,SybilRank,43,0.6433945000000001,0.6035087719298246,0.4380165289256198,0.6694736842105263,0.5295587010824313,161,
161,2000,1000,SybilBelief,43,0.2226515,0.6666666666666666,inf,0.0,0.0,97,
162,2000,1000,SybilSCAR,43,0.645874,0.6659649122807018,0.0,0.0,0.0,66,
163,2000,1000,SybilGCN-L2,43,0.6850905,0.6680701754385965,0.8333333333333334,0.005263157894736842,0.010460251046025104,12891,
164,2000,1000,SybilGCN-L4,43,0.46025925,0.4768421052631579,0.25783348254252464,0.3031578947368421,0.27866473149492016,19506,
165,2000,1000,SybilGCN-L8,43,0.20598850000000002,0.30736842105263157,0.2899917965545529,0.7442105263157894,0.41735537190082644,8826,
166,2000,1000,SybilRGCN-L2,43,0.7276935,0.6691228070175439,0.6296296296296297,0.017894736842105262,0.03480040941658137,12881,
167,2000,1000,SybilGAT-L2,43,0.616171,0.6666666666666666,inf,0.0,0.0,5306,
168,2000,1000,SybilGAT-L4,43,0.720982,0.6617543859649123,0.4635416666666667,0.09368421052631579,0.15586690017513136,1454,
169,2000,1000,SybilGAT-L8,43,0.6587772500000001,0.6182456140350877,0.43936731107205623,0.5263157894736842,0.4789272030651341,1815,
170,2000,1000,SybilRank,44,0.6555479999999999,0.6080701754385965,0.4426904598490048,0.6789473684210526,0.5359368508516826,174,
171,2000,1000,SybilBelief,44,0.2253765,0.6666666666666666,inf,0.0,0.0,99,
172,2000,1000,SybilSCAR,44,0.652609,0.6663157894736842,0.0,0.0,0.0,64,
173,2000,1000,SybilGCN-L2,44,0.6903750000000001,0.6666666666666666,0.5,0.0010526315789473684,0.0021008403361344537,11138,
174,2000,1000,SybilGCN-L4,44,0.467466,0.48140350877192983,0.2647058823529412,0.3126315789473684,0.28667953667953666,20566,
175,2000,1000,SybilGCN-L8,44,0.21361425,0.6666666666666666,inf,0.0,0.0,76124,
176,2000,1000,SybilRGCN-L2,44,0.7445820000000001,0.6673684210526316,1.0,0.002105263157894737,0.004201680672268907,13556,
177,2000,1000,SybilGAT-L2,44,0.7711155000000002,0.6666666666666666,inf,0.0,0.0,4584,
178,2000,1000,SybilGAT-L4,44,0.7136205,0.5003508771929824,0.3963254593175853,0.9536842105263158,0.5599505562422744,1910,
179,2000,1000,SybilGAT-L8,44,0.6903590000000001,0.6445614035087719,0.46594594594594596,0.4536842105263158,0.4597333333333333,2091,
180,2000,1000,SybilRank,45,0.642393,0.5908771929824561,0.4256198347107438,0.6505263157894737,0.514571190674438,172,
181,2000,1000,SybilBelief,45,0.22663875,0.6666666666666666,inf,0.0,0.0,97,
182,2000,1000,SybilSCAR,45,0.6371779999999999,0.6659649122807018,0.3333333333333333,0.002105263157894737,0.0041841004184100415,64,
183,2000,1000,SybilGCN-L2,45,0.6788315,0.6754385964912281,0.6811594202898551,0.049473684210526316,0.09224730127576054,11332,
184,2000,1000,SybilGCN-L4,45,0.47419625,0.6333333333333333,0.28110599078341014,0.06421052631578947,0.10454155955441302,18839,
185,2000,1000,SybilGCN-L8,45,0.2168305,0.3392982456140351,0.32993073277433466,0.9526315789473684,0.4901164365014893,34686,
186,2000,1000,SybilRGCN-L2,45,0.6868799999999999,0.6652631578947369,0.16666666666666666,0.0010526315789473684,0.0020920502092050207,13059,
187,2000,1000,SybilGAT-L2,45,0.7344397500000001,0.6666666666666666,inf,0.0,0.0,2958,
188,2000,1000,SybilGAT-L4,45,0.717821,0.6701754385964912,0.5260416666666666,0.10631578947368421,0.17688266199649738,1569,
189,2000,1000,SybilGAT-L8,45,0.6737285000000001,0.6108771929824561,0.4416727806309611,0.6336842105263157,0.5205361003026373,2240,
190,2000,1000,SybilRank,46,0.5672185,0.5389473684210526,0.3746556473829201,0.5726315789473684,0.4529558701082431,170,
191,2000,1000,SybilBelief,46,0.23011925,0.6666666666666666,inf,0.0,0.0,113,
192,2000,1000,SybilSCAR,46,0.6051095,0.6596491228070176,0.1875,0.00631578947368421,0.012219959266802444,1297,
