,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
167,PL,1000,0.05,0.0,8,SybilGAT_L2,43,0.739376,0.6357894736842106,0.7345454545454545,0.42526315789473684,0.5386666666666666,1076,
168,PL,1000,0.05,0.0,8,SybilGAT_L4,43,0.7886039999999999,0.6947368421052632,0.6831683168316832,0.7263157894736842,0.7040816326530612,1700,
169,PL,1000,0.05,0.0,8,SybilGAT_L8,43,0.722336,0.6063157894736843,0.8258064516129032,0.2694736842105263,0.40634920634920635,628,
170,PL,1000,0.05,0.0,8,SybilRank,44,0.7354199999999999,0.6736842105263158,0.6708074534161491,0.6821052631578948,0.6764091858037579,43,
171,PL,1000,0.05,0.0,8,SybilBelief,44,0.499204,0.5,0.5,1.0,0.6666666666666666,34,
172,PL,1000,0.05,0.0,8,SybilSCAR,44,0.720284,0.5021052631578947,0.5010570824524313,0.9978947368421053,0.6671358198451794,21,
173,PL,1000,0.05,0.0,8,SybilGCN_L2_noDropout,44,0.7731919999999999,0.5010526315789474,1.0,0.002105263157894737,0.004201680672268907,6597,
174,PL,1000,0.05,0.0,8,SybilGCN_L4_noDropout,44,0.7429159999999999,0.5736842105263158,0.8645833333333334,0.17473684210526316,0.29071803852889666,9663,
175,PL,1000,0.05,0.0,8,SybilGCN_L8_noDropout,44,0.43063,0.4905263157894737,0.49510337323177367,0.9578947368421052,0.6527977044476327,213,
176,PL,1000,0.05,0.0,8,SybilRGCN_L2_noDropout,44,0.74566,0.5021052631578947,1.0,0.004210526315789474,0.008385744234800839,6802,
177,PL,1000,0.05,0.0,8,SybilGAT_L2,44,0.7646040000000001,0.5052631578947369,1.0,0.010526315789473684,0.020833333333333332,1261,
178,PL,1000,0.05,0.0,8,SybilGAT_L4,44,0.781936,0.5842105263157895,0.8846153846153846,0.1936842105263158,0.3177892918825561,1679,
179,PL,1000,0.05,0.0,8,SybilGAT_L8,44,0.761234,0.6863157894736842,0.6612021857923497,0.7642105263157895,0.708984375,1829,
180,PL,1000,0.05,0.0,8,SybilRank,45,0.8098759999999999,0.72,0.7163561076604554,0.728421052631579,0.7223382045929019,42,
181,PL,1000,0.05,0.0,8,SybilBelief,45,0.510358,0.5,inf,0.0,0.0,72,
182,PL,1000,0.05,0.0,8,SybilSCAR,45,0.6677919999999999,0.6263157894736842,0.6195219123505976,0.6547368421052632,0.6366427840327533,93,
183,PL,1000,0.05,0.0,8,SybilGCN_L2_noDropout,45,0.7689000000000001,0.5,inf,0.0,0.0,6089,
184,PL,1000,0.05,0.0,8,SybilGCN_L4_noDropout,45,0.760468,0.6747368421052632,0.7842465753424658,0.48210526315789476,0.5971316818774446,10847,
